,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
118,0.068,0.066,0.052,0.917,0.92,0.938,0.665,0.673,0.743,0.106,0.104,0.089,0.856,0.866,0.882,0.4,0.44,0.5
119,0.068,0.066,0.052,0.917,0.918,0.937,0.666,0.666,0.737,0.105,0.106,0.083,0.856,0.86,0.892,0.41,0.42,0.55
120,0.068,0.066,0.052,0.916,0.919,0.939,0.664,0.667,0.748,0.106,0.105,0.085,0.856,0.862,0.884,0.42,0.44,0.51
121,0.068,0.066,0.052,0.916,0.92,0.938,0.666,0.67,0.748,0.106,0.105,0.088,0.856,0.864,0.884,0.42,0.44,0.51
122,0.068,0.065,0.052,0.916,0.92,0.939,0.666,0.672,0.748,0.105,0.103,0.085,0.858,0.866,0.886,0.44,0.44,0.52
123,0.068,0.065,0.052,0.915,0.921,0.938,0.659,0.681,0.745,0.108,0.105,0.087,0.85,0.864,0.882,0.4,0.43,0.51
124,0.068,0.066,0.052,0.917,0.921,0.938,0.666,0.677,0.743,0.106,0.105,0.086,0.858,0.864,0.882,0.43,0.44,0.51
125,0.068,0.066,0.052,0.916,0.921,0.938,0.664,0.678,0.745,0.106,0.105,0.086,0.858,0.862,0.888,0.42,0.44,0.53
126,0.068,0.065,0.051,0.915,0.921,0.94,0.66,0.68,0.748,0.105,0.104,0.084,0.852,0.864,0.896,0.4,0.44,0.55
127,0.068,0.066,0.052,0.916,0.922,0.939,0.664,0.682,0.747,0.106,0.105,0.083,0.858,0.862,0.894,0.42,0.43,0.55
128,0.068,0.065,0.051,0.915,0.921,0.939,0.66,0.678,0.748,0.106,0.105,0.085,0.86,0.862,0.886,0.46,0.43,0.52
129,0.068,0.065,0.052,0.916,0.919,0.94,0.664,0.671,0.751,0.105,0.102,0.085,0.852,0.868,0.89,0.41,0.45,0.52
130,0.068,0.066,0.051,0.916,0.92,0.938,0.665,0.67,0.746,0.107,0.103,0.087,0.854,0.864,0.886,0.44,0.45,0.52
131,0.068,0.065,0.052,0.916,0.92,0.939,0.664,0.674,0.744,0.107,0.103,0.087,0.854,0.858,0.886,0.41,0.42,0.53
132,0.068,0.065,0.051,0.915,0.92,0.938,0.659,0.672,0.744,0.107,0.104,0.088,0.852,0.86,0.884,0.41,0.43,0.51
133,0.068,0.065,0.051,0.917,0.919,0.938,0.665,0.668,0.744,0.106,0.105,0.085,0.86,0.862,0.89,0.42,0.44,0.54
134,0.068,0.065,0.051,0.916,0.921,0.94,0.665,0.676,0.748,0.105,0.103,0.088,0.856,0.864,0.888,0.42,0.44,0.52
135,0.068,0.065,0.051,0.916,0.92,0.94,0.666,0.677,0.748,0.105,0.102,0.084,0.858,0.864,0.89,0.44,0.44,0.53
136,0.068,0.065,0.051,0.915,0.922,0.94,0.661,0.687,0.749,0.106,0.103,0.084,0.852,0.864,0.892,0.41,0.44,0.53
137,0.068,0.065,0.051,0.916,0.921,0.941,0.665,0.683,0.752,0.107,0.104,0.086,0.856,0.862,0.892,0.45,0.43,0.53
138,0.068,0.065,0.051,0.914,0.92,0.94,0.657,0.675,0.75,0.105,0.104,0.083,0.856,0.86,0.9,0.41,0.43,0.58
139,0.068,0.065,0.051,0.916,0.92,0.939,0.666,0.674,0.745,0.105,0.102,0.087,0.852,0.864,0.892,0.41,0.44,0.53
140,0.068,0.065,0.051,0.916,0.92,0.942,0.662,0.671,0.754,0.105,0.103,0.082,0.856,0.864,0.898,0.42,0.44,0.55
141,0.068,0.065,0.051,0.918,0.92,0.94,0.671,0.673,0.75,0.104,0.102,0.084,0.864,0.866,0.886,0.46,0.45,0.52
142,0.068,0.065,0.052,0.917,0.921,0.941,0.667,0.68,0.756,0.105,0.105,0.084,0.862,0.862,0.892,0.43,0.43,0.53
143,0.068,0.065,0.051,0.917,0.92,0.939,0.667,0.671,0.747,0.106,0.103,0.085,0.86,0.862,0.888,0.44,0.44,0.53
144,0.068,0.065,0.051,0.917,0.92,0.938,0.669,0.673,0.744,0.105,0.103,0.09,0.86,0.866,0.886,0.45,0.45,0.52
145,0.068,0.065,0.051,0.917,0.921,0.939,0.667,0.676,0.745,0.104,0.103,0.09,0.86,0.864,0.886,0.44,0.44,0.5
146,0.068,0.065,0.051,0.916,0.92,0.942,0.663,0.674,0.757,0.106,0.103,0.084,0.856,0.86,0.898,0.42,0.43,0.56
147,0.068,0.065,0.051,0.916,0.921,0.94,0.667,0.676,0.75,0.106,0.102,0.086,0.858,0.866,0.892,0.43,0.44,0.54
148,0.068,0.065,0.051,0.916,0.922,0.939,0.663,0.682,0.741,0.106,0.104,0.086,0.856,0.86,0.9,0.41,0.42,0.55
149,0.068,0.065,0.051,0.917,0.922,0.94,0.668,0.68,0.749,0.107,0.104,0.082,0.862,0.862,0.896,0.45,0.43,0.54
150,0.068,0.065,0.051,0.916,0.921,0.94,0.665,0.68,0.747,0.105,0.104,0.085,0.858,0.862,0.896,0.43,0.43,0.54
151,0.068,0.065,0.051,0.917,0.92,0.94,0.666,0.672,0.753,0.108,0.104,0.083,0.858,0.864,0.894,0.44,0.44,0.54
152,0.068,0.065,0.051,0.917,0.919,0.941,0.668,0.67,0.752,0.105,0.104,0.086,0.864,0.86,0.896,0.44,0.42,0.55
153,0.068,0.065,0.051,0.916,0.92,0.941,0.664,0.674,0.751,0.106,0.104,0.087,0.854,0.86,0.892,0.42,0.42,0.53
154,0.068,0.065,0.051,0.916,0.922,0.941,0.665,0.683,0.753,0.105,0.104,0.087,0.856,0.86,0.894,0.41,0.42,0.54
155,0.068,0.065,0.051,0.917,0.919,0.94,0.666,0.673,0.751,0.106,0.103,0.088,0.858,0.864,0.892,0.45,0.43,0.54
156,0.068,0.065,0.051,0.917,0.92,0.94,0.666,0.674,0.75,0.104,0.102,0.088,0.858,0.868,0.89,0.45,0.45,0.53
157,0.068,0.065,0.051,0.914,0.922,0.941,0.658,0.684,0.755,0.108,0.104,0.085,0.856,0.862,0.896,0.42,0.44,0.54
158,0.068,0.065,0.051,0.917,0.921,0.941,0.667,0.677,0.754,0.106,0.103,0.085,0.86,0.862,0.896,0.45,0.43,0.54
159,0.068,0.065,0.051,0.914,0.923,0.942,0.657,0.685,0.754,0.107,0.103,0.086,0.85,0.858,0.892,0.41,0.42,0.53
160,0.068,0.065,0.051,0.915,0.919,0.94,0.661,0.67,0.749,0.107,0.104,0.084,0.854,0.864,0.9,0.42,0.42,0.57
161,0.068,0.065,0.051,0.916,0.921,0.942,0.664,0.677,0.757,0.106,0.103,0.084,0.858,0.862,0.896,0.42,0.43,0.54
162,0.068,0.065,0.051,0.916,0.923,0.942,0.664,0.687,0.757,0.105,0.104,0.086,0.858,0.856,0.896,0.42,0.41,0.55
163,0.068,0.065,0.051,0.917,0.922,0.94,0.667,0.682,0.749,0.105,0.104,0.084,0.86,0.86,0.9,0.45,0.41,0.56
164,0.068,0.065,0.051,0.916,0.921,0.941,0.665,0.675,0.752,0.106,0.103,0.084,0.862,0.862,0.892,0.44,0.42,0.53
165,0.068,0.065,0.051,0.916,0.923,0.941,0.664,0.686,0.754,0.106,0.105,0.086,0.858,0.862,0.892,0.43,0.42,0.53
166,0.068,0.065,0.05,0.918,0.922,0.941,0.669,0.683,0.753,0.105,0.105,0.084,0.862,0.858,0.9,0.45,0.4,0.56
167,0.068,0.065,0.05,0.916,0.923,0.94,0.664,0.687,0.747,0.106,0.103,0.086,0.856,0.864,0.896,0.42,0.42,0.55
168,0.068,0.065,0.051,0.916,0.922,0.942,0.665,0.685,0.756,0.105,0.105,0.085,0.854,0.858,0.894,0.42,0.4,0.54
169,0.068,0.065,0.05,0.917,0.922,0.941,0.667,0.685,0.751,0.106,0.105,0.087,0.864,0.86,0.89,0.45,0.41,0.52
170,0.068,0.065,0.051,0.917,0.921,0.941,0.668,0.679,0.752,0.105,0.104,0.087,0.862,0.864,0.894,0.45,0.42,0.53
171,0.068,0.065,0.05,0.916,0.922,0.941,0.664,0.683,0.753,0.107,0.105,0.086,0.856,0.856,0.896,0.42,0.39,0.54
172,0.068,0.065,0.05,0.916,0.922,0.941,0.665,0.683,0.753,0.107,0.105,0.087,0.854,0.856,0.89,0.4,0.4,0.52
173,0.068,0.065,0.05,0.917,0.923,0.942,0.668,0.685,0.755,0.106,0.105,0.084,0.858,0.86,0.898,0.44,0.41,0.55
174,0.068,0.065,0.05,0.917,0.923,0.942,0.667,0.686,0.754,0.106,0.104,0.086,0.86,0.864,0.9,0.45,0.42,0.55
175,0.068,0.065,0.05,0.917,0.922,0.942,0.669,0.685,0.758,0.105,0.103,0.087,0.86,0.866,0.89,0.45,0.44,0.52
176,0.068,0.065,0.05,0.916,0.921,0.942,0.663,0.677,0.759,0.107,0.101,0.084,0.856,0.868,0.902,0.42,0.44,0.57
177,0.068,0.065,0.05,0.916,0.922,0.942,0.667,0.678,0.755,0.106,0.103,0.086,0.86,0.866,0.898,0.42,0.44,0.54
178,0.068,0.065,0.05,0.917,0.92,0.941,0.668,0.673,0.752,0.106,0.104,0.085,0.862,0.858,0.894,0.44,0.39,0.54
179,0.068,0.065,0.05,0.918,0.923,0.94,0.672,0.683,0.753,0.107,0.105,0.089,0.86,0.858,0.892,0.44,0.4,0.53
180,0.068,0.065,0.05,0.918,0.922,0.943,0.67,0.686,0.761,0.107,0.102,0.086,0.86,0.868,0.894,0.44,0.44,0.53
181,0.068,0.065,0.05,0.916,0.922,0.941,0.664,0.681,0.754,0.106,0.104,0.092,0.856,0.862,0.886,0.42,0.42,0.5
182,0.068,0.065,0.051,0.916,0.922,0.941,0.666,0.679,0.757,0.107,0.102,0.088,0.86,0.868,0.892,0.44,0.44,0.54
183,0.068,0.065,0.05,0.918,0.923,0.942,0.67,0.687,0.757,0.105,0.103,0.086,0.86,0.866,0.896,0.43,0.43,0.54
184,0.068,0.065,0.05,0.917,0.92,0.941,0.665,0.675,0.75,0.105,0.102,0.082,0.858,0.868,0.904,0.43,0.44,0.59
185,0.068,0.065,0.05,0.917,0.919,0.942,0.667,0.67,0.752,0.107,0.103,0.085,0.864,0.866,0.894,0.46,0.43,0.54
186,0.068,0.065,0.05,0.917,0.922,0.941,0.667,0.682,0.756,0.105,0.104,0.089,0.856,0.866,0.888,0.42,0.43,0.52
187,0.068,0.065,0.05,0.918,0.923,0.942,0.67,0.686,0.754,0.105,0.104,0.085,0.864,0.854,0.896,0.45,0.38,0.55
188,0.068,0.064,0.05,0.918,0.923,0.942,0.672,0.684,0.753,0.105,0.103,0.084,0.868,0.856,0.892,0.47,0.39,0.55
189,0.068,0.065,0.05,0.918,0.921,0.943,0.669,0.675,0.759,0.105,0.104,0.084,0.86,0.86,0.898,0.44,0.41,0.56
190,0.068,0.065,0.05,0.917,0.923,0.942,0.667,0.686,0.757,0.104,0.104,0.086,0.86,0.86,0.896,0.45,0.41,0.54
191,0.068,0.065,0.05,0.917,0.922,0.941,0.668,0.678,0.754,0.106,0.103,0.086,0.862,0.862,0.898,0.45,0.41,0.55
192,0.068,0.064,0.05,0.917,0.923,0.942,0.666,0.684,0.755,0.106,0.104,0.088,0.858,0.862,0.9,0.42,0.41,0.55
193,0.068,0.065,0.05,0.917,0.923,0.942,0.663,0.685,0.757,0.106,0.104,0.087,0.86,0.858,0.896,0.43,0.4,0.54
194,0.068,0.064,0.05,0.916,0.923,0.942,0.662,0.687,0.753,0.106,0.102,0.089,0.852,0.866,0.892,0.42,0.42,0.51
195,0.068,0.064,0.05,0.917,0.922,0.942,0.668,0.681,0.757,0.105,0.105,0.086,0.858,0.858,0.896,0.42,0.4,0.55
196,0.068,0.065,0.05,0.917,0.923,0.942,0.667,0.684,0.755,0.107,0.103,0.088,0.856,0.864,0.89,0.42,0.42,0.51
197,0.068,0.064,0.05,0.917,0.923,0.943,0.668,0.688,0.761,0.108,0.104,0.083,0.862,0.86,0.9,0.44,0.4,0.56
198,0.068,0.064,0.05,0.918,0.92,0.941,0.671,0.671,0.751,0.105,0.104,0.085,0.86,0.858,0.894,0.45,0.4,0.55
199,0.068,0.065,0.05,0.917,0.922,0.942,0.667,0.684,0.757,0.105,0.103,0.085,0.858,0.856,0.9,0.42,0.39,0.56
