,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
65,0.008,0.012,0.005,0.992,0.99,0.994,0.96,0.953,0.972,0.012,0.017,0.006,0.984,0.982,0.992,0.92,0.91,0.96
66,0.008,0.012,0.005,0.992,0.99,0.994,0.96,0.951,0.972,0.012,0.017,0.007,0.984,0.98,0.992,0.92,0.91,0.96
67,0.008,0.012,0.005,0.992,0.989,0.994,0.96,0.945,0.969,0.012,0.017,0.007,0.984,0.98,0.99,0.92,0.91,0.96
68,0.008,0.012,0.005,0.992,0.99,0.994,0.96,0.952,0.972,0.011,0.017,0.007,0.986,0.982,0.992,0.93,0.92,0.96
69,0.008,0.012,0.005,0.992,0.99,0.994,0.96,0.952,0.969,0.012,0.016,0.006,0.984,0.982,0.988,0.92,0.91,0.95
70,0.008,0.012,0.005,0.992,0.99,0.994,0.961,0.95,0.968,0.011,0.017,0.006,0.984,0.98,0.99,0.92,0.91,0.96
71,0.008,0.012,0.005,0.992,0.99,0.995,0.959,0.953,0.974,0.012,0.016,0.006,0.984,0.982,0.992,0.92,0.91,0.96
72,0.008,0.012,0.005,0.992,0.99,0.995,0.96,0.951,0.974,0.012,0.016,0.006,0.984,0.982,0.992,0.92,0.92,0.96
73,0.008,0.011,0.005,0.992,0.99,0.995,0.96,0.953,0.973,0.011,0.016,0.007,0.984,0.98,0.99,0.92,0.91,0.95
74,0.008,0.011,0.005,0.992,0.99,0.995,0.962,0.952,0.973,0.011,0.016,0.006,0.984,0.98,0.992,0.92,0.91,0.96
75,0.008,0.011,0.005,0.992,0.989,0.995,0.961,0.948,0.973,0.011,0.016,0.005,0.984,0.978,0.992,0.92,0.9,0.96
76,0.008,0.011,0.005,0.992,0.99,0.994,0.961,0.953,0.972,0.011,0.016,0.007,0.984,0.982,0.99,0.92,0.91,0.96
77,0.008,0.011,0.005,0.992,0.991,0.995,0.96,0.954,0.973,0.011,0.016,0.005,0.984,0.98,0.992,0.92,0.91,0.96
78,0.008,0.011,0.005,0.992,0.991,0.994,0.96,0.955,0.972,0.011,0.016,0.006,0.984,0.984,0.992,0.92,0.92,0.96
79,0.008,0.011,0.005,0.992,0.991,0.994,0.959,0.955,0.972,0.011,0.016,0.007,0.984,0.982,0.99,0.92,0.91,0.96
80,0.008,0.011,0.005,0.992,0.991,0.995,0.96,0.954,0.974,0.011,0.016,0.006,0.984,0.982,0.992,0.92,0.92,0.96
81,0.007,0.011,0.005,0.992,0.991,0.995,0.961,0.954,0.974,0.011,0.016,0.006,0.984,0.982,0.992,0.92,0.91,0.96
82,0.007,0.011,0.004,0.992,0.991,0.995,0.961,0.954,0.974,0.011,0.015,0.005,0.984,0.982,0.994,0.92,0.91,0.97
83,0.007,0.011,0.005,0.992,0.99,0.994,0.961,0.95,0.972,0.011,0.016,0.007,0.986,0.982,0.99,0.93,0.92,0.96
84,0.007,0.011,0.005,0.992,0.991,0.995,0.961,0.954,0.975,0.011,0.015,0.006,0.984,0.984,0.992,0.92,0.92,0.96
85,0.007,0.01,0.004,0.992,0.989,0.995,0.962,0.947,0.976,0.011,0.016,0.006,0.986,0.982,0.99,0.93,0.92,0.96
86,0.007,0.01,0.004,0.992,0.991,0.995,0.962,0.955,0.973,0.011,0.015,0.005,0.986,0.984,0.992,0.93,0.92,0.96
87,0.007,0.01,0.004,0.992,0.991,0.995,0.961,0.953,0.975,0.011,0.015,0.006,0.984,0.982,0.992,0.92,0.91,0.96
88,0.007,0.01,0.005,0.992,0.991,0.994,0.96,0.954,0.969,0.011,0.015,0.008,0.984,0.982,0.99,0.92,0.92,0.96
