,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
69,0.139,0.137,0.129,0.771,0.77,0.788,0.216,0.204,0.23,0.084,0.093,0.084,0.899,0.89,0.897,0.44,0.47,0.51
70,0.139,0.137,0.128,0.773,0.769,0.787,0.212,0.193,0.229,0.084,0.093,0.083,0.88,0.884,0.885,0.36,0.44,0.46
71,0.139,0.137,0.128,0.772,0.771,0.788,0.216,0.204,0.23,0.084,0.094,0.082,0.887,0.89,0.89,0.38,0.46,0.5
72,0.139,0.137,0.128,0.772,0.77,0.789,0.217,0.202,0.23,0.084,0.094,0.081,0.892,0.887,0.891,0.39,0.44,0.49
73,0.139,0.137,0.128,0.772,0.77,0.788,0.217,0.203,0.227,0.084,0.093,0.083,0.886,0.884,0.882,0.38,0.44,0.47
74,0.139,0.137,0.128,0.771,0.771,0.788,0.213,0.204,0.226,0.083,0.093,0.084,0.899,0.89,0.881,0.44,0.45,0.46
75,0.139,0.137,0.128,0.771,0.771,0.789,0.212,0.206,0.228,0.083,0.093,0.084,0.899,0.894,0.886,0.44,0.46,0.47
76,0.139,0.136,0.128,0.773,0.772,0.788,0.212,0.204,0.228,0.084,0.093,0.083,0.881,0.891,0.886,0.37,0.46,0.49
77,0.139,0.136,0.128,0.772,0.772,0.789,0.217,0.205,0.23,0.084,0.093,0.083,0.892,0.887,0.889,0.39,0.45,0.51
78,0.139,0.136,0.128,0.772,0.772,0.788,0.217,0.206,0.232,0.083,0.093,0.083,0.892,0.891,0.884,0.39,0.45,0.48
79,0.139,0.136,0.128,0.772,0.772,0.789,0.217,0.206,0.231,0.083,0.093,0.083,0.897,0.889,0.885,0.43,0.46,0.49
80,0.139,0.136,0.128,0.771,0.767,0.789,0.212,0.201,0.231,0.084,0.093,0.083,0.892,0.889,0.886,0.39,0.46,0.5
81,0.139,0.136,0.128,0.772,0.772,0.789,0.217,0.206,0.227,0.083,0.093,0.085,0.899,0.886,0.885,0.44,0.45,0.46
82,0.139,0.136,0.128,0.772,0.772,0.788,0.217,0.21,0.228,0.084,0.092,0.085,0.892,0.887,0.881,0.39,0.46,0.46
83,0.139,0.136,0.128,0.772,0.772,0.788,0.217,0.206,0.225,0.084,0.093,0.085,0.892,0.887,0.882,0.39,0.47,0.46
84,0.139,0.136,0.128,0.772,0.773,0.789,0.215,0.211,0.23,0.084,0.093,0.085,0.886,0.884,0.884,0.38,0.45,0.47
85,0.139,0.136,0.128,0.772,0.771,0.789,0.217,0.206,0.231,0.084,0.093,0.084,0.887,0.891,0.885,0.39,0.46,0.49
86,0.139,0.136,0.128,0.772,0.773,0.789,0.218,0.208,0.23,0.083,0.093,0.085,0.899,0.887,0.88,0.44,0.47,0.45
87,0.139,0.135,0.128,0.771,0.773,0.789,0.212,0.209,0.23,0.084,0.093,0.086,0.884,0.885,0.881,0.36,0.46,0.48
88,0.139,0.135,0.128,0.772,0.773,0.788,0.216,0.209,0.228,0.083,0.093,0.085,0.891,0.886,0.876,0.38,0.47,0.46
89,0.139,0.135,0.128,0.771,0.773,0.788,0.211,0.209,0.23,0.084,0.092,0.085,0.881,0.886,0.89,0.34,0.46,0.49
90,0.139,0.135,0.128,0.772,0.773,0.787,0.217,0.209,0.226,0.083,0.094,0.085,0.899,0.885,0.879,0.44,0.45,0.44
91,0.139,0.135,0.128,0.772,0.773,0.789,0.216,0.21,0.23,0.083,0.093,0.085,0.894,0.886,0.877,0.44,0.47,0.47
92,0.139,0.135,0.128,0.772,0.772,0.789,0.217,0.209,0.229,0.083,0.092,0.084,0.899,0.885,0.877,0.44,0.47,0.47
93,0.139,0.135,0.128,0.772,0.773,0.789,0.216,0.21,0.23,0.083,0.093,0.084,0.897,0.885,0.881,0.43,0.45,0.49
94,0.139,0.135,0.128,0.772,0.773,0.789,0.212,0.21,0.23,0.083,0.092,0.085,0.899,0.886,0.889,0.42,0.47,0.47
95,0.139,0.135,0.128,0.771,0.774,0.789,0.212,0.21,0.23,0.083,0.092,0.086,0.885,0.887,0.875,0.41,0.49,0.47
96,0.139,0.135,0.128,0.772,0.773,0.788,0.216,0.208,0.225,0.083,0.093,0.085,0.892,0.88,0.887,0.43,0.43,0.49
97,0.139,0.135,0.128,0.772,0.775,0.789,0.216,0.216,0.228,0.083,0.092,0.085,0.892,0.892,0.876,0.43,0.49,0.46
98,0.139,0.135,0.128,0.772,0.774,0.788,0.213,0.215,0.228,0.083,0.093,0.084,0.899,0.884,0.87,0.44,0.46,0.46
99,0.139,0.135,0.128,0.772,0.775,0.789,0.213,0.217,0.23,0.083,0.093,0.086,0.899,0.882,0.88,0.44,0.45,0.48
